fichero,url,performance,best-practices,seo,calificacion
20250330_28021252_IES PACIFICO_url_aula_LightHouse.json,https://aulavirtual35.educa.madrid.org/ies.pacifico.madrid/,0.51,0.96,0.66,7.72
20250330_28021252_IES PACIFICO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.pacifico.madrid,0.56,0.66,0.85,6.83
20250330_28021549_IES PALOMERAS VALLECAS_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.palomerasvallecas.madrid/,0.53,0.96,0.66,7.78
20250330_28021549_IES PALOMERAS VALLECAS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.palomerasvallecas.madrid,0.59,0.76,0.83,7.35
20250330_28021550_IES GARCIA MORATO_url_aula_LightHouse.json,https://aulavirtual35.educa.madrid.org/ies.garciamorato.madrid/,0.6,0.96,0.58,7.75
20250330_28021550_IES GARCIA MORATO_url_web_LightHouse.json,https://ies.garciamorato.madrid.educa.madrid.org,0.0,0.0,0.0,0.0
20250330_28021562_IES GRAN CAPITÁN_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.grancapitan.madrid/,0.57,0.96,0.58,7.67
20250330_28021562_IES GRAN CAPITÁN_url_web_LightHouse.json,http://www.educa.madrid.org/ies.grancapitan.madrid,0.39,0.62,0.77,6.0
20250330_28022207_IES CARMEN MARTIN GAITE_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.carmenmartingai.moralzarzal/,0.55,0.93,0.66,7.68
20250330_28022207_IES CARMEN MARTIN GAITE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.carmenmartingai.moralzarzal,0.53,0.79,0.92,7.58
20250330_28022712_IES ESCUELA TECNICO PROFESIONAL DE LA SALUD DE LA COMUNIDAD DE MADRID_url_web_LightHouse.json,http://www.educa.madrid.org/ies.salud.madrid,0.92,0.76,0.66,7.75
20250330_28022724_IES CIUDAD ESCOLAR_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.ciudadescolar.madrid/,0.57,0.96,0.66,7.88
20250330_28022724_IES CIUDAD ESCOLAR_url_web_LightHouse.json,http://www.educa.madrid.org/ies.ciudadescolar.madrid,0.54,0.66,0.92,6.95
20250330_28023194_IES FELIPE TRIGO_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.felipetrigo.mostoles/,0.61,0.96,0.58,7.77
20250330_28023194_IES FELIPE TRIGO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.felipetrigo.mostoles,0.43,0.62,0.92,6.47
20250330_28023212_IES JUAN GRIS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.juangris.mostoles,0.94,0.76,0.66,7.8
20250330_28023327_IES CARMEN MARTIN GAITE_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.carmenmartingai.navalcarnero/,0.57,0.96,0.66,7.88
20250330_28023327_IES CARMEN MARTIN GAITE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.carmenmartingai.navalcarnero,0.56,0.76,1,7.7
20250330_28023911_IES GERARDO DIEGO_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.gerardodiego.pozuelodealarcon/,0.56,0.96,0.58,7.65
20250330_28023911_IES GERARDO DIEGO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.gerardodiego.pozuelodealarcon,0.94,0.76,0.66,7.8
20250330_28024290_IES VEGA DEL JARAMA_url_aula_LightHouse.json,https://aulavirtual35.educa.madrid.org/ies.vegadeljarama.sanfernando/,0.64,0.96,0.66,8.05
20250330_28024290_IES VEGA DEL JARAMA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.vegadeljarama.sanfernando,0.92,0.76,0.66,7.75
20250330_28024642_IES JOAN MIRO_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.joanmiro.sansebastian/,0.48,0.96,0.5,7.25
20250330_28024642_IES JOAN MIRO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.joanmiro.sansebastian,0.5,0.79,1,7.7
20250330_28025014_IES ISAAC PERAL_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.isaacperal.torrejondeardoz/,0.51,0.93,0.58,7.38
20250330_28025014_IES ISAAC PERAL_url_web_LightHouse.json,http://www.educa.madrid.org/ies.isaacperal.torrejondeardoz,0.38,0.66,0.92,6.55
20250330_28025026_IES LAS VEREDILLAS_url_aula_LightHouse.json,https://aulavirtual34.educa.madrid.org/ies.lasveredillas.torrejondeardoz/,0.57,0.96,0.66,7.88
20250330_28025026_IES LAS VEREDILLAS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.lasveredillas.torrejondeardoz,0.94,0.76,0.66,7.8
20250330_28025129_IES ALTO JARAMA_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.altojarama.torrelaguna/,0.57,0.96,0.66,7.88
20250330_28025129_IES ALTO JARAMA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.altojarama.torrelaguna,0.51,0.66,1,7.08
